student_id,cgpa,skills,projects_count,domain_interest,certifications,experience_level,communication_skill,hackathons,github_score,internship_role
5725,6.69,React|Node.js,1,AI,5,Beginner,10,2,70,AI Intern
5726,8.75,HTML|CSS|JS,6,Data Science,4,Beginner,7,3,39,Data Science Intern
5727,6.32,HTML|CSS|JS,2,AI,1,Intermediate,4,2,42,AI Intern
5728,8.32,Python|SQL|Tableau,3,Web Development,0,Intermediate,5,3,84,Frontend Intern
5729,7.91,HTML|CSS|JS,5,Data Analysis,0,Advanced,4,0,53,Data Analyst Intern
5730,7.82,Python|SQL|Tableau,3,Data Science,0,Beginner,5,0,30,Data Science Intern
5731,6.79,React|Node.js,3,Machine Learning,1,Beginner,8,1,57,ML Intern
5732,6.15,Python|AI|Deep Learning,2,Software Development,2,Advanced,10,3,40,SDE Intern
5733,7.33,C|C++|DSA,5,Software Development,0,Intermediate,10,5,83,SDE Intern
5734,9.53,C++|DSA,1,Data Analysis,4,Intermediate,7,5,44,Data Analyst Intern
5735,9.25,HTML|CSS|Bootstrap,4,Data Science,3,Beginner,10,5,43,Data Science Intern
5736,7.43,Python|ML|Data Analysis,6,Data Science,4,Intermediate,5,2,60,Data Science Intern
5737,9.07,React|Node.js,5,Machine Learning,5,Intermediate,8,1,65,ML Intern
5738,6.13,Python|DL|NLP,2,Data Science,3,Advanced,10,4,74,Data Science Intern
5739,9.67,C++|DSA,2,AI,2,Intermediate,8,3,94,AI Intern
5740,7.95,Python|ML|Pandas,4,Software Development,1,Intermediate,6,3,70,SDE Intern
5741,8.86,C|C++|DSA,2,Software Development,1,Intermediate,7,1,90,SDE Intern
5742,9.77,Python|ML|Data Analysis,6,AI,4,Beginner,4,2,64,AI Intern
5743,8.83,Python|DL|NLP,4,Data Analysis,2,Intermediate,8,5,43,Data Analyst Intern
5744,6.44,Python|DL|NLP,6,Data Analysis,1,Advanced,8,4,45,Data Analyst Intern
5745,8.42,Python|AI|Deep Learning,6,Software Development,5,Intermediate,10,2,81,SDE Intern
5746,9.0,React|Node.js,5,AI,4,Advanced,8,0,53,AI Intern
5747,6.38,Python|DL|NLP,5,Web Development,2,Advanced,7,0,73,Frontend Intern
5748,8.3,HTML|CSS|JS,3,Data Analysis,5,Beginner,4,5,68,Data Analyst Intern
5749,8.85,Python|ML|Data Analysis,6,Web Development,3,Beginner,10,3,34,Full Stack Intern
5750,6.32,C|C++|DSA,5,Data Science,4,Intermediate,8,5,89,Data Science Intern
5751,8.54,C++|DSA,2,Data Science,4,Advanced,4,3,69,Data Science Intern
5752,7.66,React|Node.js,5,Data Analysis,4,Intermediate,6,3,33,Data Analyst Intern
5753,9.51,HTML|CSS|Bootstrap,2,AI,2,Beginner,9,3,34,AI Intern
5754,8.08,React|Node.js,6,Web Development,2,Intermediate,8,0,76,Full Stack Intern
5755,9.6,Python|ML|Data Analysis,2,AI,3,Intermediate,10,3,63,AI Intern
5756,8.34,Python|DL|NLP,3,Web Development,4,Advanced,4,3,88,Full Stack Intern
5757,7.08,C++|DSA,4,AI,0,Intermediate,4,5,70,AI Intern
5758,6.82,React|Node.js,4,Data Science,0,Intermediate,10,2,90,Data Science Intern
5759,8.21,Python|ML|Data Analysis,1,Machine Learning,3,Advanced,10,1,97,ML Intern
5760,8.14,C++|DSA,1,Web Development,2,Advanced,7,4,54,Frontend Intern
5761,9.07,Python|ML|Data Analysis,2,Software Development,2,Beginner,5,0,42,SDE Intern
5762,7.12,HTML|CSS|JS,6,Web Development,4,Beginner,4,1,98,Full Stack Intern
5763,6.85,Python|ML|Data Analysis,3,Software Development,5,Beginner,10,0,69,SDE Intern
5764,6.8,React|Node.js,6,Web Development,5,Intermediate,6,5,96,Frontend Intern
5765,8.4,Python|ML|Pandas,2,Web Development,5,Intermediate,8,3,69,Frontend Intern
5766,7.29,Python|DL|NLP,5,Machine Learning,5,Intermediate,10,5,64,ML Intern
5767,8.2,HTML|CSS|JS,6,Software Development,3,Beginner,8,1,71,SDE Intern
5768,7.28,C|C++|DSA,3,Data Science,3,Advanced,7,5,30,Data Science Intern
5769,8.58,Python|DL|NLP,5,Machine Learning,1,Intermediate,9,0,75,ML Intern
5770,7.44,Python|ML|Data Analysis,3,AI,3,Advanced,9,3,75,AI Intern
5771,6.01,Python|ML|Pandas,4,Machine Learning,2,Beginner,5,1,58,ML Intern
5772,9.48,Python|DL|NLP,5,Data Analysis,3,Beginner,7,3,42,Data Analyst Intern
5773,8.98,HTML|CSS|JS,1,Web Development,0,Advanced,10,2,70,Full Stack Intern
5774,8.43,Python|AI|Deep Learning,3,AI,3,Intermediate,5,4,81,AI Intern
5775,8.73,HTML|CSS|Bootstrap,4,Data Analysis,3,Advanced,7,1,82,Data Analyst Intern
5776,8.82,Python|SQL|Tableau,2,Software Development,5,Intermediate,6,0,87,SDE Intern
5777,8.83,HTML|CSS|Bootstrap,2,Data Science,2,Advanced,4,4,51,Data Science Intern
5778,8.13,HTML|CSS|JS,2,Machine Learning,2,Intermediate,5,2,52,ML Intern
5779,7.78,C|C++|DSA,5,Data Science,5,Advanced,5,1,79,Data Science Intern
5780,9.01,Python|ML|Data Analysis,5,AI,3,Intermediate,10,1,72,AI Intern
5781,6.01,Python|ML|Data Analysis,2,Machine Learning,2,Beginner,5,0,34,ML Intern
5782,8.06,React|Node.js,2,Data Science,2,Beginner,4,1,39,Data Science Intern
5783,7.6,Python|DL|NLP,1,Web Development,5,Advanced,6,0,88,Full Stack Intern
5784,8.02,React|Node.js,3,AI,0,Intermediate,9,0,100,AI Intern
5785,7.18,Python|DL|NLP,6,Software Development,4,Beginner,6,3,92,SDE Intern
5786,6.76,HTML|CSS|Bootstrap,4,Machine Learning,1,Advanced,4,0,90,ML Intern
5787,6.61,C|C++|DSA,1,Software Development,1,Advanced,5,3,46,SDE Intern
5788,9.43,Python|DL|NLP,6,Data Analysis,2,Intermediate,8,5,56,Data Analyst Intern
5789,9.16,Python|DL|NLP,1,Machine Learning,5,Beginner,6,5,52,ML Intern
5790,9.53,Python|SQL|Tableau,6,Data Analysis,4,Intermediate,7,2,89,Data Analyst Intern
5791,7.48,Python|ML|Pandas,3,Machine Learning,1,Beginner,6,2,49,ML Intern
5792,6.79,C|C++|DSA,2,Data Science,4,Beginner,6,5,57,Data Science Intern
5793,7.33,Python|DL|NLP,1,Data Analysis,0,Beginner,8,5,91,Data Analyst Intern
5794,6.39,Python|ML|Data Analysis,3,Data Science,3,Advanced,10,4,42,Data Science Intern
5795,7.48,Python|AI|Deep Learning,6,Data Analysis,2,Intermediate,4,3,87,Data Analyst Intern
5796,8.49,Python|AI|Deep Learning,5,AI,4,Intermediate,4,1,68,AI Intern
5797,7.53,C++|DSA,6,Software Development,4,Beginner,10,5,47,SDE Intern
5798,7.1,React|Node.js,3,Web Development,3,Intermediate,8,4,97,Full Stack Intern
5799,7.93,HTML|CSS|JS,4,Data Analysis,0,Advanced,6,0,78,Data Analyst Intern
5800,6.95,Python|DL|NLP,3,Web Development,2,Advanced,8,4,39,Frontend Intern
5801,6.53,HTML|CSS|Bootstrap,5,Data Analysis,1,Beginner,8,3,79,Data Analyst Intern
5802,8.27,Python|ML|Pandas,1,Web Development,4,Intermediate,4,3,72,Frontend Intern
5803,6.19,C++|DSA,6,Software Development,0,Beginner,7,2,41,SDE Intern
5804,7.38,Python|DL|NLP,3,Data Science,2,Advanced,8,0,45,Data Science Intern
5805,9.33,Python|ML|Pandas,4,Software Development,3,Intermediate,4,1,96,SDE Intern
5806,9.31,C++|DSA,4,Machine Learning,0,Advanced,6,5,77,ML Intern
5807,9.44,React|Node.js,3,AI,3,Intermediate,9,5,92,AI Intern
5808,7.1,Python|SQL|Tableau,1,Software Development,4,Advanced,7,2,64,SDE Intern
5809,8.37,C++|DSA,4,Software Development,3,Advanced,7,4,50,SDE Intern
5810,7.01,HTML|CSS|Bootstrap,6,Machine Learning,1,Beginner,5,2,100,ML Intern
5811,6.76,Python|ML|Pandas,5,Data Analysis,3,Advanced,9,4,86,Data Analyst Intern
5812,6.97,HTML|CSS|JS,4,Software Development,1,Advanced,4,4,70,SDE Intern
5813,8.44,Python|AI|Deep Learning,5,Machine Learning,5,Intermediate,10,1,88,ML Intern
5814,9.28,C++|DSA,2,Data Science,0,Beginner,5,5,70,Data Science Intern
5815,6.34,HTML|CSS|Bootstrap,4,Data Analysis,2,Intermediate,5,3,52,Data Analyst Intern
5816,6.73,C++|DSA,2,Web Development,0,Intermediate,7,2,57,Full Stack Intern
5817,7.39,Python|ML|Pandas,2,AI,3,Advanced,8,3,96,AI Intern
5818,9.08,Python|AI|Deep Learning,2,AI,5,Beginner,5,3,54,AI Intern
5819,8.68,Python|DL|NLP,2,Web Development,3,Advanced,6,1,31,Frontend Intern
5820,8.05,HTML|CSS|Bootstrap,5,Web Development,5,Intermediate,4,5,89,Frontend Intern
5821,6.33,Python|DL|NLP,4,Web Development,1,Intermediate,9,4,55,Full Stack Intern
5822,6.69,HTML|CSS|JS,1,Machine Learning,3,Beginner,4,0,36,ML Intern
5823,9.58,C++|DSA,4,AI,5,Beginner,9,3,36,AI Intern
5824,8.31,Python|SQL|Tableau,4,Machine Learning,1,Intermediate,6,4,79,ML Intern
5825,8.01,Python|ML|Pandas,4,Web Development,5,Advanced,9,3,46,Frontend Intern
5826,8.66,C|C++|DSA,2,Software Development,3,Beginner,9,0,51,SDE Intern
5827,8.42,C++|DSA,4,Data Science,3,Beginner,7,4,57,Data Science Intern
5828,7.17,HTML|CSS|Bootstrap,2,Data Science,1,Beginner,4,4,72,Data Science Intern
5829,7.62,HTML|CSS|JS,3,Data Analysis,1,Advanced,4,4,35,Data Analyst Intern
5830,7.46,React|Node.js,5,Software Development,5,Advanced,5,3,81,SDE Intern
5831,7.69,React|Node.js,3,Data Analysis,4,Beginner,5,3,66,Data Analyst Intern
5832,7.12,C|C++|DSA,2,Software Development,4,Intermediate,5,3,97,SDE Intern
5833,6.04,Python|ML|Data Analysis,1,Data Science,4,Beginner,6,1,49,Data Science Intern
5834,8.42,Python|SQL|Tableau,6,AI,1,Advanced,8,1,40,AI Intern
5835,7.63,C|C++|DSA,3,Web Development,1,Beginner,6,1,54,Frontend Intern
5836,6.62,Python|ML|Data Analysis,2,Web Development,4,Intermediate,7,5,88,Full Stack Intern
5837,8.4,React|Node.js,2,Web Development,5,Intermediate,6,3,88,Full Stack Intern
5838,6.8,Python|AI|Deep Learning,2,Machine Learning,0,Beginner,9,5,52,ML Intern
5839,7.64,Python|ML|Data Analysis,6,Web Development,0,Intermediate,5,4,54,Full Stack Intern
5840,9.21,Python|ML|Pandas,2,Web Development,4,Beginner,10,5,86,Frontend Intern
5841,6.47,C++|DSA,6,Web Development,4,Intermediate,6,2,63,Frontend Intern
5842,8.03,Python|SQL|Tableau,6,Machine Learning,5,Advanced,8,4,34,ML Intern
5843,8.18,Python|SQL|Tableau,1,Machine Learning,4,Advanced,8,4,95,ML Intern
5844,7.28,C++|DSA,4,Software Development,4,Beginner,8,1,66,SDE Intern
5845,6.06,Python|ML|Pandas,2,Web Development,4,Advanced,6,0,88,Frontend Intern
5846,7.64,Python|ML|Pandas,6,Data Science,0,Beginner,8,0,42,Data Science Intern
5847,7.98,Python|SQL|Tableau,2,Data Analysis,5,Beginner,7,3,48,Data Analyst Intern
5848,6.1,Python|AI|Deep Learning,3,Software Development,2,Intermediate,6,5,89,SDE Intern
5849,6.2,Python|ML|Pandas,2,Web Development,5,Advanced,8,0,72,Full Stack Intern
5850,7.17,C++|DSA,4,Data Science,1,Intermediate,10,4,45,Data Science Intern
5851,9.48,Python|ML|Data Analysis,1,Software Development,1,Advanced,10,2,94,SDE Intern
5852,6.64,C|C++|DSA,2,Data Science,2,Beginner,9,0,42,Data Science Intern
5853,6.59,Python|SQL|Tableau,6,Data Science,4,Advanced,7,0,92,Data Science Intern
5854,6.54,Python|ML|Pandas,1,AI,0,Beginner,4,0,73,AI Intern
5855,8.6,React|Node.js,5,Web Development,4,Beginner,10,2,67,Full Stack Intern
5856,7.81,Python|DL|NLP,3,AI,2,Intermediate,4,5,77,AI Intern
5857,7.38,Python|ML|Data Analysis,5,Data Science,0,Intermediate,5,5,73,Data Science Intern
5858,9.35,Python|ML|Data Analysis,2,Machine Learning,3,Advanced,5,0,83,ML Intern
5859,7.98,Python|ML|Data Analysis,5,Web Development,4,Intermediate,5,0,97,Full Stack Intern
5860,6.07,C|C++|DSA,3,Data Science,4,Intermediate,9,0,32,Data Science Intern
5861,6.53,C++|DSA,6,Data Science,2,Advanced,10,4,91,Data Science Intern
5862,9.57,C|C++|DSA,4,Machine Learning,1,Beginner,8,5,57,ML Intern
5863,6.49,React|Node.js,1,Data Science,2,Beginner,8,2,94,Data Science Intern
5864,8.29,React|Node.js,2,Web Development,3,Intermediate,5,2,52,Frontend Intern
5865,9.44,Python|AI|Deep Learning,3,Web Development,1,Beginner,6,4,43,Full Stack Intern
5866,7.05,Python|DL|NLP,3,Software Development,3,Advanced,6,2,76,SDE Intern
5867,8.22,HTML|CSS|Bootstrap,6,Machine Learning,2,Advanced,10,5,70,ML Intern
5868,7.83,React|Node.js,2,Web Development,3,Intermediate,7,0,52,Frontend Intern
5869,6.63,Python|DL|NLP,5,Data Science,5,Intermediate,8,0,67,Data Science Intern
5870,9.42,HTML|CSS|JS,2,Web Development,4,Advanced,10,3,43,Full Stack Intern
5871,6.84,Python|AI|Deep Learning,6,Web Development,3,Advanced,9,2,69,Full Stack Intern
5872,8.69,HTML|CSS|Bootstrap,4,Web Development,2,Beginner,4,5,36,Full Stack Intern
5873,6.47,Python|DL|NLP,5,Web Development,1,Beginner,6,3,62,Frontend Intern
5874,9.49,HTML|CSS|JS,3,Machine Learning,5,Intermediate,10,1,56,ML Intern
5875,6.56,Python|ML|Pandas,6,Web Development,0,Intermediate,6,0,95,Full Stack Intern
5876,8.39,Python|SQL|Tableau,6,Software Development,5,Intermediate,5,2,86,SDE Intern
5877,6.17,Python|DL|NLP,5,Data Science,0,Intermediate,4,3,63,Data Science Intern
5878,9.49,C++|DSA,3,Web Development,3,Intermediate,6,1,50,Frontend Intern
5879,9.15,C++|DSA,2,Data Science,5,Advanced,8,1,68,Data Science Intern
5880,8.68,Python|DL|NLP,4,Data Science,0,Intermediate,6,4,45,Data Science Intern
5881,8.56,HTML|CSS|Bootstrap,1,Machine Learning,4,Beginner,8,2,42,ML Intern
5882,9.48,Python|DL|NLP,3,Machine Learning,4,Beginner,8,3,88,ML Intern
5883,6.64,HTML|CSS|Bootstrap,4,Data Science,2,Intermediate,8,4,57,Data Science Intern
5884,7.52,Python|ML|Data Analysis,4,Data Science,0,Intermediate,5,5,35,Data Science Intern
5885,8.69,Python|ML|Data Analysis,2,Web Development,0,Beginner,10,1,73,Full Stack Intern
5886,6.03,C|C++|DSA,5,Data Science,4,Advanced,6,1,73,Data Science Intern
5887,8.14,C++|DSA,6,AI,0,Intermediate,5,1,90,AI Intern
5888,8.62,Python|ML|Data Analysis,2,Machine Learning,3,Beginner,7,4,32,ML Intern
5889,9.2,React|Node.js,1,Web Development,1,Intermediate,4,5,75,Full Stack Intern
5890,7.0,HTML|CSS|JS,5,Software Development,1,Beginner,4,4,46,SDE Intern
5891,6.06,C++|DSA,5,Data Science,5,Advanced,7,3,43,Data Science Intern
5892,7.8,Python|AI|Deep Learning,4,Software Development,2,Advanced,5,5,83,SDE Intern
5893,8.26,Python|DL|NLP,3,Data Analysis,5,Intermediate,9,3,60,Data Analyst Intern
5894,7.28,Python|ML|Pandas,6,Data Science,5,Advanced,4,2,32,Data Science Intern
5895,8.72,Python|ML|Data Analysis,2,Data Science,5,Advanced,6,3,87,Data Science Intern
5896,6.94,C|C++|DSA,3,Machine Learning,2,Beginner,7,1,57,ML Intern
5897,9.11,HTML|CSS|JS,3,Software Development,5,Advanced,7,4,79,SDE Intern
5898,7.22,C++|DSA,4,Web Development,4,Beginner,5,4,78,Frontend Intern
5899,8.98,C++|DSA,1,Software Development,2,Advanced,6,2,48,SDE Intern
5900,7.65,Python|ML|Pandas,2,Web Development,1,Beginner,10,0,64,Frontend Intern
5901,6.01,Python|AI|Deep Learning,4,Data Science,3,Advanced,4,0,39,Data Science Intern
5902,7.22,Python|SQL|Tableau,2,Data Science,4,Intermediate,7,3,46,Data Science Intern
5903,6.94,HTML|CSS|JS,6,Data Science,3,Beginner,9,3,91,Data Science Intern
5904,9.4,Python|DL|NLP,6,Web Development,0,Advanced,10,1,32,Frontend Intern
5905,7.91,Python|ML|Pandas,1,Data Science,0,Beginner,4,2,75,Data Science Intern
5906,8.96,Python|DL|NLP,4,Machine Learning,4,Advanced,5,4,40,ML Intern
5907,8.14,Python|AI|Deep Learning,4,Data Science,3,Beginner,5,0,62,Data Science Intern
5908,8.56,C|C++|DSA,4,Data Science,0,Beginner,4,5,93,Data Science Intern
5909,8.11,Python|ML|Pandas,4,Software Development,0,Intermediate,5,5,41,SDE Intern
5910,9.65,React|Node.js,4,Data Analysis,5,Advanced,6,3,58,Data Analyst Intern
5911,7.56,HTML|CSS|Bootstrap,5,AI,5,Advanced,7,3,63,AI Intern
5912,8.61,C++|DSA,1,Machine Learning,5,Intermediate,9,0,43,ML Intern
5913,7.02,C|C++|DSA,1,Machine Learning,4,Advanced,9,3,37,ML Intern
5914,6.94,Python|AI|Deep Learning,3,Data Science,3,Beginner,10,0,81,Data Science Intern
5915,7.34,HTML|CSS|JS,3,Data Science,5,Advanced,4,2,86,Data Science Intern
5916,8.16,React|Node.js,1,Data Science,2,Advanced,6,1,54,Data Science Intern
5917,7.96,HTML|CSS|JS,5,Data Science,0,Beginner,9,2,65,Data Science Intern
5918,7.78,C|C++|DSA,4,Machine Learning,3,Beginner,4,1,36,ML Intern
5919,6.17,Python|ML|Pandas,1,Software Development,3,Beginner,4,2,44,SDE Intern
5920,9.01,React|Node.js,3,Machine Learning,5,Beginner,4,3,36,ML Intern
5921,9.79,HTML|CSS|JS,4,Software Development,4,Intermediate,10,3,54,SDE Intern
5922,8.65,Python|AI|Deep Learning,2,Data Analysis,1,Intermediate,6,4,43,Data Analyst Intern
5923,7.57,C|C++|DSA,4,AI,4,Beginner,10,0,42,AI Intern
5924,6.11,HTML|CSS|JS,1,Machine Learning,0,Advanced,5,1,69,ML Intern
5925,7.38,HTML|CSS|JS,1,Software Development,0,Intermediate,4,1,73,SDE Intern
5926,9.3,Python|ML|Pandas,5,Web Development,4,Beginner,10,5,53,Frontend Intern
5927,8.66,Python|ML|Pandas,5,Data Science,5,Intermediate,6,2,90,Data Science Intern
5928,6.45,C|C++|DSA,2,Machine Learning,4,Advanced,9,1,71,ML Intern
5929,6.97,C++|DSA,4,Data Science,3,Advanced,10,1,88,Data Science Intern
5930,6.12,C++|DSA,6,Web Development,0,Intermediate,8,0,36,Frontend Intern
5931,9.25,Python|DL|NLP,2,Software Development,0,Advanced,8,4,80,SDE Intern
5932,9.6,Python|ML|Pandas,2,Data Analysis,5,Advanced,4,4,71,Data Analyst Intern
5933,8.98,C++|DSA,2,Data Science,1,Advanced,4,5,71,Data Science Intern
5934,6.85,Python|ML|Data Analysis,4,Machine Learning,0,Advanced,9,1,52,ML Intern
5935,9.49,Python|ML|Data Analysis,4,Data Analysis,4,Intermediate,5,0,95,Data Analyst Intern
5936,7.06,C++|DSA,6,Software Development,3,Beginner,9,3,34,SDE Intern
5937,8.88,HTML|CSS|JS,4,Machine Learning,3,Intermediate,10,4,60,ML Intern
5938,7.82,HTML|CSS|JS,1,Data Analysis,2,Beginner,6,5,46,Data Analyst Intern
5939,7.56,Python|DL|NLP,2,Machine Learning,1,Intermediate,4,0,92,ML Intern
5940,8.93,React|Node.js,2,Data Science,5,Advanced,4,1,35,Data Science Intern
5941,6.83,HTML|CSS|JS,3,Data Science,4,Beginner,8,2,37,Data Science Intern
5942,9.56,HTML|CSS|JS,5,Data Analysis,5,Advanced,7,3,96,Data Analyst Intern
5943,7.74,HTML|CSS|Bootstrap,6,Machine Learning,0,Beginner,9,4,89,ML Intern
5944,8.54,React|Node.js,5,Data Science,2,Intermediate,7,1,77,Data Science Intern
5945,9.13,React|Node.js,4,Data Analysis,5,Advanced,9,0,74,Data Analyst Intern
5946,8.85,HTML|CSS|JS,3,Machine Learning,3,Advanced,8,1,76,ML Intern
5947,6.31,HTML|CSS|JS,3,Data Science,2,Intermediate,10,1,76,Data Science Intern
5948,8.87,Python|ML|Data Analysis,5,Data Science,5,Advanced,4,5,63,Data Science Intern
5949,6.72,Python|ML|Data Analysis,5,Data Science,2,Advanced,5,0,55,Data Science Intern
5950,7.44,HTML|CSS|Bootstrap,6,Machine Learning,1,Intermediate,7,1,53,ML Intern
5951,9.36,Python|ML|Pandas,4,Data Analysis,2,Beginner,6,4,66,Data Analyst Intern
5952,6.37,Python|DL|NLP,4,Web Development,0,Beginner,4,1,35,Full Stack Intern
5953,6.66,Python|SQL|Tableau,4,Data Science,5,Intermediate,7,5,68,Data Science Intern
5954,8.13,React|Node.js,6,Software Development,0,Beginner,4,1,63,SDE Intern
5955,6.8,C|C++|DSA,4,Web Development,3,Advanced,7,0,67,Frontend Intern
5956,7.64,Python|ML|Data Analysis,2,Web Development,3,Beginner,4,4,48,Frontend Intern
5957,8.22,Python|SQL|Tableau,5,Machine Learning,2,Intermediate,6,1,45,ML Intern
5958,8.74,Python|AI|Deep Learning,2,Data Analysis,3,Advanced,7,2,65,Data Analyst Intern
5959,8.69,React|Node.js,6,Software Development,4,Intermediate,9,5,54,SDE Intern
5960,8.94,React|Node.js,4,Data Analysis,2,Intermediate,9,3,94,Data Analyst Intern
5961,7.22,HTML|CSS|Bootstrap,1,Data Science,1,Intermediate,8,5,81,Data Science Intern
5962,7.06,Python|DL|NLP,3,Web Development,3,Intermediate,8,0,84,Full Stack Intern
5963,8.79,Python|SQL|Tableau,2,Machine Learning,1,Beginner,7,3,62,ML Intern
5964,8.39,Python|DL|NLP,3,Web Development,0,Intermediate,8,0,57,Full Stack Intern
5965,6.49,Python|ML|Data Analysis,4,Data Analysis,1,Advanced,7,1,50,Data Analyst Intern
5966,7.68,C|C++|DSA,2,AI,2,Advanced,8,3,50,AI Intern
5967,9.44,Python|AI|Deep Learning,3,AI,5,Advanced,5,4,82,AI Intern
5968,9.09,Python|SQL|Tableau,6,Data Analysis,0,Intermediate,4,4,39,Data Analyst Intern
5969,6.77,React|Node.js,1,Data Analysis,2,Intermediate,10,1,59,Data Analyst Intern
5970,8.6,HTML|CSS|JS,2,Data Science,0,Beginner,6,1,53,Data Science Intern
5971,6.01,Python|AI|Deep Learning,6,Software Development,0,Advanced,5,3,39,SDE Intern
5972,6.36,Python|DL|NLP,6,Data Analysis,2,Beginner,8,4,50,Data Analyst Intern
5973,6.23,Python|DL|NLP,2,Data Analysis,5,Beginner,6,3,55,Data Analyst Intern
5974,8.39,HTML|CSS|JS,5,Software Development,4,Advanced,6,5,63,SDE Intern
5975,7.37,Python|AI|Deep Learning,4,Data Analysis,1,Beginner,8,5,56,Data Analyst Intern
5976,8.54,C|C++|DSA,1,Web Development,4,Intermediate,5,3,55,Frontend Intern
5977,6.21,HTML|CSS|Bootstrap,2,Data Science,0,Beginner,5,1,54,Data Science Intern
5978,8.61,Python|DL|NLP,3,Software Development,5,Advanced,10,4,81,SDE Intern
5979,6.41,Python|DL|NLP,4,AI,0,Intermediate,8,5,34,AI Intern
5980,8.19,Python|SQL|Tableau,5,Machine Learning,1,Intermediate,10,1,89,ML Intern
5981,6.82,Python|AI|Deep Learning,1,AI,2,Advanced,5,1,97,AI Intern
5982,6.98,Python|ML|Pandas,3,Software Development,5,Intermediate,8,4,38,SDE Intern
5983,6.14,C++|DSA,5,Data Science,5,Intermediate,6,4,38,Data Science Intern
5984,9.46,HTML|CSS|Bootstrap,2,Data Science,4,Intermediate,9,3,99,Data Science Intern
5985,7.56,Python|AI|Deep Learning,4,Data Analysis,4,Advanced,5,4,69,Data Analyst Intern
5986,6.28,Python|ML|Data Analysis,6,Data Science,5,Beginner,8,2,89,Data Science Intern
5987,7.6,HTML|CSS|Bootstrap,1,Machine Learning,1,Advanced,7,4,44,ML Intern
5988,6.35,Python|SQL|Tableau,2,Web Development,0,Advanced,7,3,70,Frontend Intern
5989,7.03,C++|DSA,4,Data Analysis,1,Intermediate,4,4,44,Data Analyst Intern
5990,6.56,Python|AI|Deep Learning,6,Data Analysis,0,Beginner,9,3,69,Data Analyst Intern
5991,8.04,React|Node.js,6,Software Development,0,Advanced,4,1,80,SDE Intern
5992,8.42,Python|ML|Data Analysis,6,Data Analysis,4,Beginner,10,3,35,Data Analyst Intern
5993,8.12,HTML|CSS|Bootstrap,3,Machine Learning,3,Advanced,6,3,69,ML Intern
5994,6.01,HTML|CSS|JS,1,Software Development,4,Beginner,5,5,41,SDE Intern
5995,8.26,C|C++|DSA,6,Web Development,5,Beginner,7,2,61,Frontend Intern
5996,6.96,React|Node.js,6,Machine Learning,1,Intermediate,6,1,43,ML Intern
5997,7.68,React|Node.js,1,Data Science,2,Beginner,9,2,70,Data Science Intern
5998,8.35,C++|DSA,5,Data Analysis,4,Beginner,9,1,87,Data Analyst Intern
5999,7.51,C++|DSA,2,Web Development,3,Advanced,8,2,79,Full Stack Intern
6000,6.64,Python|AI|Deep Learning,4,AI,5,Beginner,6,5,96,AI Intern
6001,7.1,C|C++|DSA,6,AI,3,Beginner,7,0,31,AI Intern
6002,8.38,C|C++|DSA,2,Data Science,4,Intermediate,5,4,34,Data Science Intern
6003,6.05,Python|ML|Pandas,2,Machine Learning,0,Beginner,6,3,97,ML Intern
6004,9.48,Python|DL|NLP,3,Machine Learning,0,Advanced,6,5,89,ML Intern
6005,6.63,Python|SQL|Tableau,1,Machine Learning,2,Intermediate,5,3,85,ML Intern
6006,6.08,Python|ML|Data Analysis,4,Machine Learning,2,Beginner,7,1,80,ML Intern
6007,7.03,Python|ML|Data Analysis,2,Web Development,2,Advanced,4,3,67,Frontend Intern
6008,8.8,Python|ML|Data Analysis,2,Data Science,3,Advanced,10,5,91,Data Science Intern
6009,9.63,C|C++|DSA,2,Data Analysis,4,Advanced,5,4,43,Data Analyst Intern
6010,6.17,Python|ML|Pandas,4,Data Analysis,1,Intermediate,8,1,39,Data Analyst Intern
6011,8.23,Python|SQL|Tableau,4,Software Development,4,Advanced,7,2,86,SDE Intern
6012,8.08,Python|DL|NLP,1,Data Analysis,3,Beginner,10,4,62,Data Analyst Intern
6013,7.46,C++|DSA,4,Web Development,4,Beginner,7,2,49,Full Stack Intern
6014,7.46,Python|ML|Data Analysis,5,Web Development,3,Intermediate,6,0,78,Full Stack Intern
6015,7.96,Python|DL|NLP,1,Software Development,5,Beginner,4,3,77,SDE Intern
6016,7.73,Python|DL|NLP,5,Web Development,1,Beginner,7,4,62,Full Stack Intern
6017,8.58,Python|DL|NLP,3,Software Development,5,Advanced,9,4,59,SDE Intern
6018,9.58,Python|ML|Pandas,6,Data Science,4,Intermediate,7,5,98,Data Science Intern
6019,6.31,Python|ML|Pandas,2,Machine Learning,1,Advanced,6,5,92,ML Intern
6020,6.47,Python|DL|NLP,2,Machine Learning,2,Advanced,6,4,81,ML Intern
6021,8.6,React|Node.js,4,Software Development,5,Intermediate,4,2,85,SDE Intern
6022,9.72,Python|SQL|Tableau,2,Data Analysis,0,Advanced,6,3,96,Data Analyst Intern
6023,8.02,C++|DSA,2,Web Development,2,Intermediate,6,3,51,Full Stack Intern
6024,6.54,Python|DL|NLP,5,AI,3,Intermediate,6,4,52,AI Intern
6025,9.8,C++|DSA,1,Machine Learning,0,Beginner,9,3,51,ML Intern
6026,6.31,HTML|CSS|JS,3,AI,4,Intermediate,7,3,73,AI Intern
6027,8.52,React|Node.js,1,Data Science,0,Advanced,9,4,80,Data Science Intern
