Student_ID,Study_Hours,Attendance,Previous_GPA,Assignments_Completed,Class_Participation,Sleep_Hours,Internet_Usage,Extra_Activities,Stress_Level,Mock_Test_Score,Final_GPA,Performance
1202,2,53,8.82,5,8,4,4,0,6,62,6.0,Average
1203,7,98,4.1,6,6,6,3,1,8,44,6.96,Average
1204,2,58,8.03,9,3,4,1,0,1,83,6.54,Average
1205,3,53,9.13,6,2,5,2,0,8,96,6.0,Average
1206,7,56,7.61,6,6,4,4,0,2,67,7.63,Good
1207,4,72,6.41,4,1,7,1,1,2,62,6.1,Average
1208,1,51,4.25,6,6,7,3,0,8,81,4.66,Poor
1209,5,98,9.06,5,9,5,2,0,2,73,8.41,Good
1210,9,73,6.59,9,7,4,3,0,8,70,8.19,Good
1211,8,89,4.16,10,9,6,3,1,5,46,8.08,Good
1212,9,80,7.79,8,2,5,2,0,9,46,7.64,Good
1213,9,96,6.65,10,5,7,6,1,9,43,8.19,Good
1214,7,80,4.68,6,9,5,5,1,8,83,7.39,Good
1215,4,96,5.18,5,7,4,3,0,9,71,6.41,Average
1216,5,89,4.35,4,9,4,6,1,7,67,6.66,Average
1217,1,97,7.16,4,6,4,7,1,8,95,6.08,Average
1218,1,92,7.42,8,7,8,2,0,6,43,6.21,Average
1219,3,83,6.78,8,5,4,3,1,9,78,6.34,Average
1220,8,73,8.49,5,6,7,5,0,2,91,8.57,Excellent
1221,2,98,8.74,8,1,7,7,0,3,84,6.98,Average
1222,4,75,7.39,8,1,8,2,0,2,47,6.59,Average
1223,2,65,4.07,4,2,7,1,1,6,53,4.53,Poor
1224,5,96,7.82,5,4,7,1,0,3,69,7.5,Good
1225,9,62,6.3,9,9,5,6,0,1,42,8.52,Excellent
1226,1,64,7.11,8,7,4,1,0,4,41,5.77,Poor
1227,5,76,7.57,5,6,5,4,1,5,49,6.86,Average
1228,9,53,5.93,6,1,5,3,0,4,45,6.93,Average
1229,1,65,9.04,4,5,7,3,1,6,94,5.91,Poor
1230,9,79,4.74,9,4,6,2,1,3,46,7.9,Good
1231,8,93,7.69,4,5,4,4,0,6,55,7.87,Good
1232,4,79,4.02,4,9,6,3,1,1,45,6.48,Average
1233,5,85,9.09,7,3,7,2,0,6,55,7.2,Good
1234,5,52,4.62,5,4,8,5,1,8,66,5.49,Poor
1235,6,71,4.52,6,8,5,3,0,8,95,6.91,Average
1236,7,98,5.83,8,3,7,6,0,1,51,7.95,Good
1237,8,71,6.05,6,3,7,3,1,7,61,7.07,Good
1238,8,99,5.18,5,9,6,5,0,4,54,8.17,Good
1239,2,99,7.22,4,5,8,5,0,6,61,6.19,Average
1240,9,98,6.44,7,1,5,3,1,6,74,8.1,Good
1241,7,61,4.19,5,7,8,5,1,5,99,7.08,Good
1242,4,70,5.76,9,7,8,2,1,9,87,6.57,Average
1243,4,53,8.46,9,6,8,3,1,8,89,6.78,Average
1244,8,80,7.79,5,6,4,3,1,6,54,7.82,Good
1245,4,93,7.99,8,3,8,1,0,4,62,7.21,Good
1246,6,80,7.84,6,3,7,6,0,4,77,7.46,Good
1247,5,72,5.71,6,9,4,3,0,9,88,6.8,Average
1248,3,69,4.55,8,1,4,7,1,4,41,5.37,Poor
1249,2,64,5.5,7,7,8,1,1,7,41,5.36,Poor
1250,9,72,8.57,4,7,7,5,0,6,88,8.44,Good
1251,9,77,9.39,10,8,5,6,1,2,58,9.48,Excellent
1252,1,65,6.72,10,6,8,6,0,5,44,5.74,Poor
1253,3,86,4.05,4,8,4,5,0,3,43,6.02,Average
1254,8,70,4.77,9,1,5,2,1,9,67,6.76,Average
1255,6,64,5.77,7,1,5,1,1,1,57,6.74,Average
1256,5,66,7.18,8,9,4,3,1,4,79,7.57,Good
1257,5,99,4.41,10,4,5,1,1,4,80,7.39,Good
1258,6,86,9.19,5,3,7,5,1,9,95,7.43,Good
1259,7,62,6.01,6,6,7,5,1,1,94,7.8,Good
1260,1,68,9.02,5,9,8,7,0,2,97,6.87,Average
1261,9,79,8.29,6,4,8,2,1,1,89,8.92,Excellent
1262,3,94,8.15,5,9,5,6,0,1,70,7.63,Good
1263,4,67,7.34,8,5,4,6,0,1,61,7.05,Good
1264,1,63,7.45,8,7,7,5,0,3,50,6.01,Average
1265,3,85,7.51,7,3,6,1,1,4,87,6.81,Average
1266,2,85,7.46,5,3,8,6,0,2,55,6.19,Average
1267,2,69,7.05,5,3,7,7,1,1,43,5.78,Poor
1268,1,68,9.43,7,8,5,7,1,5,60,6.39,Average
1269,8,94,8.03,7,6,7,3,1,6,80,8.59,Excellent
1270,3,93,8.27,8,9,7,3,1,2,84,7.97,Good
1271,3,56,8.8,8,9,5,1,1,3,64,7.05,Good
1272,6,93,5.19,9,8,8,2,0,3,59,7.9,Good
1273,8,53,4.46,5,1,8,3,1,2,47,6.47,Average
1274,9,83,6.66,8,6,6,1,0,4,82,8.71,Excellent
1275,9,51,6.83,10,4,6,1,1,5,92,8.12,Good
1276,4,54,8.56,8,4,8,5,1,8,48,6.12,Average
1277,5,59,6.44,5,3,8,6,1,6,57,5.99,Poor
1278,2,81,7.14,7,9,8,5,0,9,70,6.3,Average
1279,9,91,6.9,5,2,8,6,0,3,91,8.42,Good
1280,8,90,4.21,10,1,7,2,0,9,74,7.21,Good
1281,3,62,7.38,4,3,6,2,0,4,94,6.11,Average
1282,9,88,8.55,5,4,5,2,1,8,69,8.17,Good
1283,3,54,4.87,4,4,4,1,1,7,57,4.9,Poor
1284,9,59,7.27,5,6,5,1,0,7,58,7.54,Good
1285,2,59,7.26,10,1,4,5,0,9,80,5.5,Poor
1286,9,87,4.9,4,1,7,3,0,2,63,7.57,Good
1287,8,76,4.68,4,2,6,7,0,5,89,7.08,Good
1288,9,70,9.39,10,4,4,6,1,3,61,8.88,Excellent
1289,5,57,6.17,5,7,8,6,1,7,87,6.49,Average
1290,2,50,5.25,9,6,7,2,1,3,53,5.64,Poor
1291,8,77,4.94,8,9,4,6,0,5,58,7.92,Good
1292,6,98,7.67,6,7,8,4,0,5,99,8.29,Good
1293,8,88,7.35,8,5,7,2,1,2,68,8.61,Excellent
1294,5,63,7.54,4,6,4,7,0,1,61,7.01,Good
1295,2,70,4.48,5,9,8,6,0,6,69,5.65,Poor
1296,6,79,8.91,5,1,6,5,0,1,54,7.43,Good
1297,5,70,6.14,5,9,7,6,1,9,60,6.47,Average
1298,5,98,5.72,5,6,4,1,0,5,65,7.09,Good
1299,1,58,6.54,9,4,8,5,1,1,75,5.97,Poor
1300,2,66,6.15,6,5,6,5,0,8,51,5.23,Poor
1301,8,54,8.75,7,1,8,5,0,1,46,7.61,Good
1302,3,80,9.11,4,7,6,4,1,4,50,6.76,Average
1303,3,89,5.67,6,8,4,4,1,7,97,6.72,Average
1304,8,87,8.75,8,5,8,6,1,4,78,8.77,Excellent
1305,8,92,8.3,7,2,8,2,1,5,59,8.1,Good
1306,2,68,9.12,7,8,5,6,0,7,74,6.57,Average
1307,8,85,5.35,5,7,7,6,0,4,43,7.62,Good
1308,1,99,7.17,6,9,8,6,1,5,41,6.37,Average
1309,6,82,5.51,8,4,6,7,1,7,59,6.87,Average
1310,8,62,8.53,5,9,7,1,0,1,86,8.71,Excellent
1311,3,63,4.03,5,4,4,5,0,3,59,5.42,Poor
1312,8,82,7.11,10,3,7,3,0,1,51,8.38,Good
1313,1,78,5.87,10,3,5,7,1,3,92,6.21,Average
1314,9,92,5.77,10,2,4,2,1,2,56,8.46,Good
1315,9,98,7.55,9,3,8,2,0,5,57,8.64,Excellent
1316,5,85,8.68,4,8,4,5,1,5,79,7.65,Good
1317,4,93,7.35,7,8,4,2,0,9,63,7.0,Good
1318,6,59,8.69,8,2,5,5,1,8,47,6.63,Average
1319,7,80,5.46,7,2,6,2,1,3,76,7.38,Good
1320,5,55,6.86,6,2,4,6,0,1,95,6.86,Average
1321,9,50,6.48,4,7,6,1,0,5,80,7.62,Good
1322,3,56,4.06,5,6,7,7,1,3,69,5.59,Poor
1323,7,76,7.06,4,1,5,7,0,5,59,6.86,Average
1324,5,70,7.64,5,2,8,2,1,9,91,6.39,Average
1325,7,77,7.26,10,1,4,7,0,1,62,7.93,Good
1326,2,65,8.05,4,7,6,2,0,1,76,6.51,Average
1327,4,95,7.14,5,6,4,3,1,9,98,6.94,Average
1328,2,72,4.37,7,2,5,7,0,3,49,5.27,Poor
1329,7,69,4.64,10,2,8,1,1,5,72,7.06,Good
1330,2,87,7.28,10,2,7,7,1,9,63,5.98,Poor
1331,1,74,5.51,10,8,7,6,1,5,75,6.18,Average
1332,9,77,4.44,7,7,6,1,1,3,95,8.38,Good
1333,1,54,6.36,7,1,7,7,0,9,55,4.39,Poor
1334,8,70,7.05,7,4,6,1,1,7,89,7.72,Good
1335,2,67,5.81,10,4,8,7,1,7,67,5.73,Poor
1336,8,96,7.96,4,7,4,2,1,8,51,7.94,Good
1337,3,55,7.54,5,2,5,4,0,5,59,5.56,Poor
1338,6,78,5.83,7,4,8,2,1,2,86,7.51,Good
1339,3,68,8.15,4,1,8,5,1,9,57,5.33,Poor
1340,7,82,7.57,5,4,7,7,0,3,76,7.83,Good
1341,9,50,7.51,10,1,7,3,1,2,97,8.28,Good
1342,2,94,7.04,4,2,5,1,1,5,65,5.9,Poor
1343,5,52,4.06,10,2,4,5,0,8,85,5.86,Poor
1344,6,91,7.83,9,3,8,6,1,3,95,8.25,Good
1345,4,70,6.07,7,8,7,5,1,6,98,6.93,Average
1346,4,84,9.18,6,6,8,4,0,9,46,6.72,Average
1347,4,90,8.5,4,6,4,7,0,2,82,7.54,Good
1348,2,89,7.23,7,9,6,1,0,8,86,6.73,Average
1349,4,52,5.39,8,8,4,2,1,7,60,6.07,Average
1350,1,74,5.12,5,2,8,1,1,3,82,5.29,Poor
1351,6,94,5.87,9,6,8,3,0,1,71,8.18,Good
1352,1,87,6.62,7,1,5,1,1,6,46,5.29,Poor
1353,6,94,5.63,8,9,8,5,0,2,92,8.43,Good
1354,1,69,6.83,4,4,7,5,1,3,62,5.43,Poor
1355,6,93,4.91,4,4,5,2,0,5,59,6.77,Average
1356,8,94,9.38,8,9,8,2,0,8,59,8.84,Excellent
1357,2,83,4.59,9,3,4,2,0,2,71,6.14,Average
1358,2,70,9.13,8,5,8,6,1,6,65,6.42,Average
1359,4,97,9.02,5,1,4,7,0,1,75,7.42,Good
1360,3,72,6.89,4,6,4,3,0,7,98,6.25,Average
1361,4,55,7.99,8,3,8,6,1,4,63,6.47,Average
1362,7,62,6.4,6,1,4,6,0,1,40,6.86,Average
1363,1,98,7.47,6,6,6,6,1,9,97,6.27,Average
1364,6,72,5.87,8,2,5,1,0,9,92,6.68,Average
1365,3,58,5.66,5,8,8,4,0,3,67,6.11,Average
1366,7,66,7.18,4,2,6,7,0,6,65,6.75,Average
1367,2,51,6.74,6,4,4,1,0,7,73,5.27,Poor
1368,2,68,7.19,8,3,4,2,0,4,65,6.0,Average
1369,4,68,5.58,10,9,5,3,0,6,75,6.96,Average
1370,1,56,6.02,8,2,6,6,0,9,44,4.45,Poor
1371,3,91,4.46,7,3,6,1,1,6,95,6.21,Average
1372,9,91,4.29,8,7,8,7,0,7,41,7.81,Good
1373,7,69,5.39,5,4,4,5,1,6,71,6.81,Average
1374,7,58,4.41,6,6,7,7,1,7,73,6.61,Average
1375,4,66,4.57,7,3,8,6,1,1,89,6.47,Average
1376,2,76,8.47,6,1,8,7,1,6,69,5.86,Poor
1377,4,96,4.21,6,6,8,1,1,9,63,6.14,Average
1378,6,51,7.62,5,4,5,5,1,3,67,6.85,Average
1379,3,85,5.5,8,2,5,1,0,6,85,6.2,Average
1380,1,68,8.79,5,7,8,1,0,4,42,5.9,Poor
1381,8,66,6.67,8,5,7,6,0,7,92,7.79,Good
1382,5,54,5.68,7,6,6,1,0,7,89,6.45,Average
1383,5,88,6.85,5,6,6,2,0,9,93,7.0,Good
1384,4,67,6.1,5,9,4,7,1,4,49,6.5,Average
1385,6,56,7.1,10,2,6,5,1,8,45,6.44,Average
1386,3,66,4.63,9,6,6,3,1,8,73,5.83,Poor
1387,9,88,9.48,4,9,7,4,0,8,70,8.76,Excellent
1388,5,85,6.34,5,4,6,7,0,8,91,6.72,Average
1389,3,89,5.92,9,6,7,6,0,6,82,6.82,Average
1390,1,94,7.91,4,7,5,5,0,8,89,6.2,Average
1391,6,53,6.0,10,1,7,2,1,6,85,6.65,Average
1392,2,87,8.58,8,5,5,5,1,2,97,7.35,Good
1393,3,74,6.5,8,4,7,3,0,3,91,6.73,Average
1394,1,54,7.96,8,2,8,6,1,6,52,5.16,Poor
1395,9,79,4.59,9,2,5,5,0,7,98,7.8,Good
1396,8,61,8.65,9,2,5,7,0,4,78,8.04,Good
1397,2,53,8.05,4,7,6,2,0,1,92,6.44,Average
1398,8,73,5.16,8,4,5,6,1,4,97,7.88,Good
1399,9,78,4.8,6,6,7,2,1,6,59,7.63,Good
1400,1,58,5.74,5,7,8,6,1,8,71,4.99,Poor
1401,5,53,9.37,9,9,8,4,0,4,49,7.55,Good
1402,8,73,5.41,9,2,6,3,0,1,65,7.81,Good
1403,2,63,6.51,9,9,7,4,0,5,58,6.29,Average
1404,4,54,4.17,4,5,7,7,1,7,68,5.26,Poor
1405,7,67,6.18,8,6,4,7,0,6,52,7.23,Good
1406,3,91,7.14,6,6,5,7,0,3,93,7.21,Good
1407,5,68,9.24,5,3,6,1,1,7,73,6.78,Average
1408,8,61,6.84,5,7,8,7,0,4,59,7.6,Good
1409,3,67,8.51,8,7,4,2,1,5,83,7.01,Good
1410,4,66,7.01,6,8,7,4,1,7,79,6.65,Average
1411,9,79,4.22,4,5,5,2,0,2,57,7.62,Good
1412,7,73,5.73,9,2,8,6,0,4,96,7.59,Good
1413,1,60,7.17,9,3,4,2,0,4,73,5.72,Poor
1414,4,84,9.23,10,9,7,1,0,6,87,8.11,Good
1415,4,72,8.73,8,6,8,2,1,7,47,6.8,Average
1416,9,66,5.26,5,8,8,6,1,4,55,7.74,Good
1417,6,50,5.21,9,8,7,6,1,1,79,7.46,Good
1418,9,64,5.11,10,5,7,4,1,1,62,8.23,Good
1419,6,81,9.07,5,1,6,7,1,5,71,7.27,Good
1420,6,58,8.69,5,6,8,3,1,1,52,7.44,Good
1421,5,64,8.26,8,7,7,5,1,3,65,7.51,Good
1422,5,77,6.16,7,9,4,4,0,9,77,6.98,Average
1423,2,73,6.77,10,2,5,1,0,3,40,5.97,Poor
1424,8,84,6.55,7,2,6,5,0,3,41,7.62,Good
1425,8,71,5.39,7,1,7,2,0,9,78,6.82,Average
1426,1,76,6.78,10,5,5,4,0,5,52,5.95,Poor
1427,8,68,4.17,6,2,6,5,0,8,66,6.5,Average
1428,5,94,4.72,8,3,8,7,1,9,43,6.21,Average
1429,2,61,8.88,10,2,5,7,0,6,80,6.25,Average
1430,2,69,8.13,5,4,6,4,0,7,90,5.96,Poor
1431,6,50,6.33,10,3,7,7,1,7,59,6.5,Average
1432,9,70,6.84,9,9,7,2,1,7,42,8.2,Good
1433,1,98,6.03,10,2,6,6,0,4,62,6.14,Average
1434,6,94,8.07,6,7,8,4,1,2,41,8.02,Good
1435,9,50,8.31,7,3,6,1,0,2,55,7.93,Good
1436,8,59,8.2,4,8,4,5,1,7,49,7.44,Good
1437,6,96,7.97,6,4,6,5,0,7,67,7.51,Good
1438,3,81,5.12,6,4,6,5,0,7,83,5.93,Poor
1439,8,88,5.86,8,9,7,4,0,8,57,8.02,Good
1440,9,71,6.58,9,3,8,2,1,3,41,7.96,Good
1441,1,67,5.82,6,7,6,4,1,5,53,5.4,Poor
1442,9,97,8.15,10,1,5,4,0,6,83,8.8,Excellent
1443,6,95,5.81,9,7,7,7,1,8,59,7.48,Good
1444,6,81,4.76,8,2,7,6,1,8,95,6.76,Average
1445,4,76,6.19,10,6,6,5,0,3,95,7.43,Good
1446,1,77,9.39,4,9,5,2,0,4,95,6.81,Average
1447,8,67,5.24,5,6,6,3,1,6,79,7.31,Good
1448,2,88,7.37,5,3,5,2,1,4,62,6.11,Average
1449,1,98,6.38,7,1,7,7,0,4,93,6.12,Average
1450,2,78,4.39,7,4,5,4,1,5,99,5.89,Poor
1451,1,67,6.68,4,4,6,1,1,7,46,4.82,Poor
1452,1,93,7.86,5,8,4,2,1,2,84,6.91,Average
1453,9,57,6.82,7,7,4,5,0,2,86,8.47,Good
1454,1,80,8.8,9,7,5,1,1,9,53,6.14,Average
1455,4,83,5.59,6,7,6,3,1,4,76,6.88,Average
1456,6,56,4.47,8,2,8,3,0,5,47,6.04,Average
1457,7,85,9.15,10,9,4,1,1,3,89,9.31,Excellent
1458,2,67,6.08,7,6,7,7,0,2,44,5.95,Poor
1459,6,87,7.17,4,2,6,3,0,8,62,6.64,Average
1460,7,58,8.36,10,1,6,1,0,4,80,7.65,Good
1461,2,58,5.78,5,1,4,4,0,1,49,5.18,Poor
1462,2,95,7.94,4,1,8,1,0,6,88,6.12,Average
1463,7,57,4.74,8,4,7,4,0,6,66,6.69,Average
1464,1,84,5.6,8,4,8,7,1,2,96,6.31,Average
1465,8,67,4.8,4,9,7,5,0,2,74,7.76,Good
1466,3,54,8.46,7,1,4,5,1,8,40,5.34,Poor
1467,6,63,5.22,7,3,6,3,0,7,46,6.12,Average
1468,9,77,7.95,5,3,7,6,0,2,86,8.49,Good
1469,6,79,9.19,9,8,6,6,1,1,90,8.91,Excellent
1470,9,53,6.9,5,2,5,1,0,8,47,6.75,Average
1471,7,88,6.97,6,6,5,7,0,2,50,7.97,Good
1472,9,69,6.54,9,4,4,4,0,5,73,8.13,Good
1473,2,74,5.79,10,6,4,5,0,6,91,6.4,Average
1474,8,77,6.62,6,5,4,7,1,1,67,8.15,Good
1475,8,61,7.32,5,9,5,5,0,2,73,8.22,Good
1476,2,51,9.42,9,9,7,5,0,4,82,6.96,Average
1477,4,92,9.16,9,1,8,3,0,2,59,7.49,Good
1478,7,63,8.74,6,3,4,5,1,6,67,7.31,Good
1479,4,71,8.89,4,1,8,6,0,4,88,6.62,Average
1480,4,80,6.57,7,6,8,2,0,3,81,7.16,Good
1481,6,72,7.62,9,3,5,3,1,6,76,7.35,Good
1482,6,97,8.92,10,1,7,1,0,9,42,7.37,Good
1483,3,69,6.16,10,6,5,2,1,8,48,6.05,Average
1484,9,87,9.29,9,5,4,3,1,2,91,9.59,Excellent
1485,2,53,6.29,6,8,5,7,1,3,61,5.89,Poor
1486,6,64,7.31,9,2,5,3,1,2,64,7.31,Good
1487,7,73,7.9,6,8,5,4,1,7,41,7.48,Good
1488,9,74,9.23,4,5,4,2,0,9,62,7.86,Good
1489,3,50,5.35,10,8,4,2,0,1,90,6.81,Average
1490,3,56,8.1,9,4,5,6,1,3,56,6.45,Average
1491,7,80,6.86,8,4,5,2,0,6,96,7.85,Good
1492,4,61,5.48,5,4,8,5,0,4,64,5.91,Poor
1493,8,91,8.27,10,6,7,6,1,1,51,9.08,Excellent
1494,7,54,7.04,4,4,8,7,1,9,66,6.4,Average
1495,5,93,7.64,8,9,7,5,0,7,59,7.7,Good
1496,7,99,5.78,10,9,7,6,0,7,48,8.13,Good
1497,3,91,6.65,4,3,5,1,1,1,62,6.51,Average
1498,2,87,7.4,7,7,8,7,0,9,75,6.32,Average
1499,6,61,6.23,4,5,7,6,1,8,67,6.29,Average
1500,2,88,5.09,4,9,7,1,1,5,89,6.32,Average
1501,3,67,9.29,7,2,4,6,1,4,87,6.71,Average
1502,6,51,6.81,9,3,7,1,0,1,68,7.19,Good
1503,5,59,8.04,5,5,5,5,1,9,92,6.55,Average
1504,8,64,6.26,8,5,6,7,1,8,95,7.6,Good
1505,9,79,5.95,10,7,4,7,1,2,81,8.97,Excellent
1506,3,93,6.24,6,8,6,6,1,4,97,7.21,Good
1507,3,66,6.25,5,8,5,4,1,4,93,6.54,Average
1508,3,53,6.99,10,1,6,6,0,7,71,5.73,Poor
1509,6,56,6.99,4,1,7,1,0,3,51,6.28,Average
1510,1,90,6.73,6,3,6,7,0,8,69,5.5,Poor
1511,7,80,4.74,7,1,8,3,1,7,99,6.97,Average
1512,1,88,6.73,5,1,5,5,0,4,50,5.37,Poor
1513,5,83,4.93,9,8,8,4,1,9,76,6.94,Average
1514,8,55,4.69,8,1,6,3,0,6,59,6.57,Average
1515,4,99,9.13,5,9,8,3,0,3,50,7.82,Good
1516,5,87,7.33,5,2,4,5,1,7,87,6.81,Average
1517,4,94,7.63,9,9,6,6,0,6,86,7.88,Good
1518,4,83,6.21,6,7,8,2,0,8,77,6.61,Average
1519,8,93,9.0,7,9,7,4,0,5,84,9.19,Excellent
1520,2,64,7.51,9,3,6,6,1,6,55,5.79,Poor
1521,1,63,8.23,10,1,4,5,0,1,98,6.43,Average
1522,3,55,6.03,7,1,7,2,1,8,74,5.22,Poor
1523,9,99,9.28,9,6,6,5,1,1,89,10.0,Excellent
1524,4,86,8.51,5,7,7,5,1,3,40,7.15,Good
1525,5,99,8.7,7,9,6,3,0,2,64,8.47,Good
1526,2,81,4.95,6,6,6,7,0,6,88,5.95,Poor
1527,4,52,5.49,6,5,5,6,1,8,66,5.56,Poor
1528,2,52,5.57,8,2,8,5,1,8,91,5.14,Poor
1529,2,71,5.49,7,2,6,6,0,7,71,5.3,Poor
1530,4,71,8.7,8,8,4,2,0,7,45,6.95,Average
1531,6,59,4.18,10,1,8,3,0,8,80,6.17,Average
1532,7,52,4.42,9,8,5,2,0,5,75,7.2,Good
1533,3,61,5.51,4,7,8,2,1,3,78,6.06,Average
1534,3,78,5.1,10,7,8,3,0,2,62,6.84,Average
1535,6,97,5.28,6,5,6,6,1,3,68,7.5,Good
1536,3,66,8.39,5,3,4,2,1,3,69,6.34,Average
1537,2,56,7.1,6,7,6,1,0,7,61,5.61,Poor
1538,8,62,4.03,4,7,4,6,0,1,96,7.63,Good
1539,5,51,6.36,5,7,4,7,0,7,50,6.05,Average
1540,1,53,6.24,7,2,7,7,0,6,65,4.84,Poor
1541,3,59,4.63,7,3,6,5,0,2,62,5.69,Poor
1542,8,88,7.72,10,3,5,3,0,1,42,8.53,Excellent
1543,4,73,7.86,6,4,8,7,0,9,87,6.45,Average
1544,7,66,7.96,5,9,7,3,1,2,45,7.88,Good
1545,2,55,8.01,9,1,5,6,1,4,46,5.62,Poor
1546,7,68,4.0,5,7,6,1,0,9,83,6.63,Average
1547,5,54,9.25,8,7,4,1,1,9,78,7.04,Good
1548,5,81,8.48,4,4,6,1,1,1,93,7.67,Good
1549,6,59,8.97,10,1,6,1,0,2,90,7.79,Good
1550,9,58,4.09,7,3,7,4,1,2,61,7.32,Good
1551,6,76,9.14,6,5,5,3,0,2,87,8.13,Good
1552,8,62,8.45,5,2,7,2,0,8,89,7.35,Good
1553,7,68,8.6,7,7,5,3,1,8,81,7.81,Good
1554,9,70,4.51,6,7,7,7,0,8,72,7.45,Good
1555,4,73,8.06,7,5,8,3,0,4,79,7.1,Good
1556,2,87,9.28,6,6,4,3,0,8,42,6.27,Average
1557,7,53,7.73,7,1,4,1,1,7,69,6.74,Average
1558,6,73,7.14,9,4,4,1,1,8,87,7.29,Good
1559,1,84,9.2,8,4,8,4,0,1,63,6.79,Average
1560,9,52,6.44,4,8,8,6,0,3,42,7.57,Good
1561,9,53,7.3,7,2,4,3,1,6,41,7.16,Good
1562,2,86,6.62,4,1,4,5,1,1,83,6.13,Average
1563,3,89,9.13,7,7,5,6,0,4,79,7.52,Good
1564,5,97,4.42,10,6,5,7,1,9,58,6.84,Average
1565,5,84,6.76,5,5,6,4,0,7,63,6.7,Average
1566,1,80,7.78,8,8,7,7,1,1,89,7.08,Good
1567,8,93,8.36,10,2,5,1,1,6,59,8.33,Good
1568,8,74,7.21,9,2,5,7,1,6,96,8.0,Good
1569,4,89,9.0,8,9,5,3,1,2,86,8.35,Good
1570,7,62,9.18,4,1,5,1,0,6,88,7.19,Good
1571,3,53,4.35,5,6,8,6,0,2,89,5.88,Poor
1572,6,95,6.21,6,3,6,2,1,8,70,6.98,Average
1573,9,63,4.13,10,5,5,1,0,7,89,7.7,Good
1574,1,62,5.81,8,8,7,1,0,6,80,5.76,Poor
1575,5,76,6.95,9,7,5,4,1,6,97,7.6,Good
1576,4,55,9.01,10,4,8,2,1,9,70,6.55,Average
1577,8,66,8.66,5,8,4,6,0,9,76,7.83,Good
1578,1,85,4.7,5,2,4,5,1,2,82,5.52,Poor
1579,9,89,4.51,4,7,6,5,0,3,68,8.08,Good
1580,6,98,7.24,9,5,4,5,1,7,43,7.56,Good
1581,4,84,6.93,5,6,5,3,0,9,97,6.68,Average
1582,9,66,5.47,5,3,8,5,1,6,49,7.04,Good
1583,5,90,8.95,6,7,6,3,1,1,75,8.25,Good
1584,5,51,9.1,4,7,5,6,0,7,94,6.92,Average
1585,5,62,6.21,4,2,4,6,1,1,74,6.47,Average
1586,1,51,8.9,9,1,7,1,0,5,96,5.82,Poor
1587,1,77,6.11,5,2,5,5,0,9,87,5.01,Poor
1588,8,92,8.05,6,8,7,4,1,9,60,8.16,Good
1589,8,75,6.62,7,3,7,6,1,1,82,8.16,Good
1590,6,71,4.67,8,4,6,2,1,6,80,6.79,Average
1591,4,96,9.1,10,8,8,2,1,3,40,8.05,Good
1592,2,92,6.5,4,3,4,6,0,9,81,5.61,Poor
1593,2,52,8.04,6,6,4,1,0,3,51,5.92,Poor
1594,9,84,6.02,9,2,5,7,1,2,63,8.32,Good
1595,5,61,4.1,6,3,4,2,0,8,41,5.32,Poor
1596,4,73,4.55,5,1,6,2,1,3,86,5.99,Poor
1597,1,54,6.73,8,9,4,7,0,5,95,6.13,Average
1598,7,69,7.79,4,4,5,1,1,6,59,7.06,Good
1599,3,88,5.84,7,6,4,7,1,1,55,6.82,Average
1600,6,88,7.83,5,7,8,1,0,7,73,7.58,Good
1601,5,62,7.84,4,2,7,1,1,7,52,5.98,Poor
1602,5,90,7.87,10,8,7,4,0,5,57,7.96,Good
1603,5,94,6.71,9,9,7,1,1,9,68,7.53,Good
1604,1,61,9.03,4,2,8,1,0,2,93,5.91,Poor
1605,1,62,6.69,6,5,6,1,0,5,90,5.64,Poor
1606,3,59,6.48,10,2,5,6,0,2,82,6.44,Average
1607,4,82,5.1,8,5,8,5,0,2,53,6.73,Average
1608,5,89,5.69,7,7,5,6,1,9,69,6.85,Average
1609,2,65,4.23,8,6,6,5,1,7,97,5.68,Poor
1610,8,94,7.48,6,4,8,4,1,4,74,8.32,Good
1611,2,84,5.37,7,2,4,4,0,8,48,5.21,Poor
1612,9,52,5.67,7,7,6,2,1,4,76,7.85,Good
1613,2,54,8.24,5,9,7,7,1,1,85,6.72,Average
1614,9,75,5.8,7,1,8,7,1,3,78,7.86,Good
1615,7,60,5.33,4,3,6,6,1,1,51,6.72,Average
1616,8,56,4.93,8,7,6,5,0,2,60,7.63,Good
1617,2,59,8.26,9,9,8,4,1,2,57,6.84,Average
1618,7,91,4.71,9,5,7,4,1,7,50,7.29,Good
1619,6,83,6.5,8,7,7,6,0,4,66,7.74,Good
1620,4,52,6.79,5,7,6,2,1,9,63,5.79,Poor
1621,7,57,7.78,7,4,5,1,0,2,80,7.72,Good
1622,4,80,7.48,6,5,6,3,1,9,82,6.56,Average
1623,2,60,8.46,10,2,8,2,0,6,89,6.23,Average
1624,7,94,4.25,10,8,8,7,0,8,73,7.78,Good
1625,8,56,5.63,4,1,8,7,1,7,59,6.29,Average
1626,2,94,5.54,5,2,7,3,1,8,52,5.28,Poor
1627,5,51,4.8,10,3,4,2,1,9,86,6.0,Average
1628,1,55,5.59,7,7,8,2,1,8,47,4.87,Poor
1629,7,90,5.7,9,6,8,1,1,6,76,7.92,Good
1630,8,81,6.87,6,7,5,4,1,8,44,7.56,Good
1631,6,69,7.65,7,5,5,5,0,8,46,6.81,Average
